movie,2511.4684931506877
theater,1528.512328767122
time,1318.6383561643813
seat,1295.101369863011
come,1142.882191780821
just,1041.8876712328765
ticket,951.6356164383558
tell,946.2246575342463
say,891.1068493150688
place,864.1561643835618
food,854.5643835616441
service,820.0547945205469
like,812.3890410958905
popcorn,669.9287671232876
people,636.2356164383563
notto,616.4191780821918
theatre,614.2438356164386
never,614.104109589041
minutes,602.5945205479455
manager,583.9479452054793
pay,563.5369863013697
experience,563.3753424657534
start,558.7643835616437
ask,548.8821917808223
leave,497.50958904109586
wait,494.2136986301369
order,487.85753424657514
use,481.66575342465774
room,459.93972602739757
try,452.9506849315069
screen,442.0876712328767
drink,438.97260273972597
good,435.6383561643836
money,426.58904109589037
walk,426.04657534246576
sit,411.213698630137
im,400.364383561644
night,399.0328767123288
staff,397.67945205479475
watch,397.47397260273965
customer,395.01917808219196
horrible,384.1561643835618
way,383.0520547945205
look,373.8438356164386
not,367.75342465753425
rude,361.2794520547947
clean,360.2356164383562
light,356.5972602739725
work,348.33698630136985
make,342.4739726027397
now,336.8904109589041
fro,335.24109589041103
2,328.48493150684953
know,324.5835616438358
line,306.04931506849323
better,305.10136986301353
right,298.88767123287676
person,292.1506849315069
talk,286.8876712328768
bad,286.26027397260276
worst,285.43835616438366
dirty,283.75068493150695
check,282.03561643835616
really,279.3945205479451
kid,277.7287671232877
think,271.668493150685
next,265.7643835616439
no,261.1972602739726
want,259.70410958904114
turn,255.59178082191778
phone,253.88219178082198
theaters,249.41917808219176
stay,239.0301369863014
issue,237.123287671233
price,237.0931506849315
wa,235.61643835616445
review,235.25205479452052
amc,232.95342465753427
stand,231.50684931506848
disappoint,230.44109589041105
customers,228.3068493150685
15,224.3753424657534
need,223.36986301369873
day,222.53424657534242
hours,219.87945205479454
ca,219.78356164383564
ive,218.3369863013699
floor,216.18904109589047
notof,213.67945205479458
5,213.24657534246572
smell,212.89589041095897
arrive,211.31232876712332
purchase,210.90684931506854
film,210.2191780821918
sound,209.30958904109593
play,207.22465753424655
noteven,203.3150684931507
bring,202.8301369863014
water,201.32328767123286
later,200.0575342465753
felt,199.8246575342466
bag,198.18630136986303
nothing,196.27671232876713
hotel,196.11506849315077
open,196.0
manageme,195.86027397260278
miss,195.55342465753418
3,194.83013698630137
10,192.8383561643835
change,191.7534246575342
park,191.18904109589036
end,190.1753424657534
wouldbe,189.54246575342475
notthe,189.4
enjoy,187.76986301369868
employee,186.5643835616438
oh,184.82739726027398
20,184.72054794520545
return,179.64657534246578
decide,177.82465753424663
eat,176.25205479452055
card,175.0301369863014
1,174.6904109589041
let,174.14794520547946
movies,171.86575342465753
wo,171.61917808219178
small,171.49315068493152
poor,170.1260273972603
inside,170.1041095890411
long,167.4767123287671
finally,166.65479452054794
guy,164.5863013698631
buy,164.49589041095896
harkins,162.08219178082192
sorry,162.07945205479447
years,159.8410958904109
new,159.50410958904112
nothave,157.2082191780822
pass,155.15890410958906
husband,153.82465753424657
away,152.1753424657534
terrible,152.16986301369866
instead,151.83013698630134
sure,151.02191780821917
bed,150.98904109589034
outside,148.80821917808225
run,147.5863013698631
great,147.268493150685
old,145.2164383561644
love,144.07671232876714
entire,143.47123287671235
vegas,143.27945205479452
things,143.20821917808217
cut,143.17534246575343
star,142.18904109589042
concession,141.52328767123285
free,141.05479452054794
visit,140.73972602739724
mean,140.20000000000002
thats,139.64657534246578
sell,139.53972602739725
early,139.14246575342466
offer,138.33424657534243
nice,137.4164383561644
thing,137.37260273972606
poi,136.15890410958903
soda,136.0712328767123
charge,136.04383561643837
notand,135.94246575342464
extremely,135.28767123287665
picture,135.16712328767122
rat,133.8657534246575
waste,132.05479452054794
cold,131.74246575342468
notbe,131.22191780821916
speak,130.08219178082194
actually,129.8821917808219
30,129.73150684931508
fine,129.6712328767123
business,129.16986301369863
notknow,129.03835616438357
date,128.39452054794523
read,126.84931506849317
serve,126.49863013698628
lot,125.64383561643832
employees,125.43287671232875
id,125.35342465753426
absolutely,125.29863013698629
big,124.786301369863
huge,124.76712328767123
drive,124.54794520547948
pretty,124.42739726027399
spe,124.26575342465755
yes,123.8301369863014
quality,123.74246575342465
save,123.44657534246575
trash,122.87397260273971
refund,122.44657534246575
lady,122.2904109589041
deal,121.8246575342466
awful,121.25205479452053
close,120.26575342465753
hour,118.12876712328763
glass,117.213698630137
hot,117.11506849315066
happen,116.82191780821915
server,115.5068493150685
friends,115.04383561643836
area,114.84383561643834
hard,114.34246575342463
receive,114.31506849315072
door,113.66575342465751
bite,112.58356164383561
ruin,112.5178082191781
ill,112.35068493150683
ok,112.03561643835616
scottsdale,110.84657534246575
guess,109.0986301369863
care,108.3945205479452
family,107.80547945205477
large,107.79452054794521
differe,107.59178082191781
policy,107.33698630136989
hold,107.18356164383563
maybe,106.25479452054792
notice,106.21643835616439
vip,105.78082191780821
explain,105.66849315068492
wrong,104.4904109589041
bar,104.11232876712324
chair,103.23561643835616
act,103.13150684931506
friend,103.04109589041097
completely,103.01917808219177
today,102.61917808219177
ridiculous,102.54520547945206
noone,102.35342465753426
lose,102.02191780821917
box,101.84931506849315
young,101.70958904109588
reason,100.84657534246577
hear,99.39999999999998
book,99.12602739726027
complain,98.99178082191781
annoy,98.75342465753425
youre,98.59726027397261
pick,98.45479452054792
lobby,98.27397260273973
venue,98.2054794520548
job,98.0164383561644
upgrade,97.92328767123288
saw,97.7260273972603
concessions,97.58082191780821
overprice,97.5205479452055
4,97.43561643835615
mess,96.90136986301368
fix,96.84931506849313
drop,96.68219178082191
able,95.84383561643835
